Year,Country,Central government personal income tax rates and thresholds,Value,Flags
"2003","Japan","Marginal rate 3",30,
"2004","Japan","Marginal rate 3",30,
"2005","Japan","Marginal rate 3",30,
"2006","Japan","Marginal rate 3",30,
"2007","Japan","Marginal rate 3",20,
"2008","Japan","Marginal rate 3",20,
"2009","Japan","Marginal rate 3",20,
"2010","Japan","Marginal rate 3",20,
"2011","Japan","Marginal rate 3",20,
"2012","Japan","Marginal rate 3",20,
"2013","Japan","Marginal rate 3",20,
"2000","Korea","Marginal rate 3",30,
"2001","Korea","Marginal rate 3",30,
"2002","Korea","Marginal rate 3",27,
"2003","Korea","Marginal rate 3",27,
"2004","Korea","Marginal rate 3",27,
"2005","Korea","Marginal rate 3",26,
"2006","Korea","Marginal rate 3",26,
"2007","Korea","Marginal rate 3",26,
"2008","Korea","Marginal rate 3",26,
"2009","Korea","Marginal rate 3",25,
"2010","Korea","Marginal rate 3",24,
"2011","Korea","Marginal rate 3",24,
"2012","Korea","Marginal rate 3",24,
"2013","Korea","Marginal rate 3",24,
"2000","Luxembourg","Marginal rate 3",16,
"2001","Luxembourg","Marginal rate 3",16,
"2002","Luxembourg","Marginal rate 3",10,
"2003","Luxembourg","Marginal rate 3",10,
"2004","Luxembourg","Marginal rate 3",10,
"2005","Luxembourg","Marginal rate 3",10,
"2006","Luxembourg","Marginal rate 3",10,
"2007","Luxembourg","Marginal rate 3",10,
"2008","Luxembourg","Marginal rate 3",10,
"2009","Luxembourg","Marginal rate 3",10,
"2010","Luxembourg","Marginal rate 3",10,
"2011","Luxembourg","Marginal rate 3",10,
"2012","Luxembourg","Marginal rate 3",10,
"2013","Luxembourg","Marginal rate 3",10,
"2000","Mexico","Marginal rate 3",17,
"2001","Mexico","Marginal rate 3",17,
"2002","Mexico","Marginal rate 3",17,
"2003","Mexico","Marginal rate 3",17,
"2004","Mexico","Marginal rate 3",17,
"2005","Mexico","Marginal rate 3",17,
"2006","Mexico","Marginal rate 3",17,
"2007","Mexico","Marginal rate 3",17,
"2008","Mexico","Marginal rate 3",10.88,
"2009","Mexico","Marginal rate 3",10.88,
"2010","Mexico","Marginal rate 3",10.88,
"2011","Mexico","Marginal rate 3",10.88,
"2012","Mexico","Marginal rate 3",10.88,
"2013","Mexico","Marginal rate 3",10.88,
"2000","Netherlands","Marginal rate 3",50,
"2001","Netherlands","Marginal rate 3",42,
"2002","Netherlands","Marginal rate 3",42,
"2003","Netherlands","Marginal rate 3",42,
"2004","Netherlands","Marginal rate 3",42,
"2005","Netherlands","Marginal rate 3",42,
"2006","Netherlands","Marginal rate 3",42,
"2007","Netherlands","Marginal rate 3",42,
"2008","Netherlands","Marginal rate 3",42,
"2009","Netherlands","Marginal rate 3",42,
"2010","Netherlands","Marginal rate 3",42,
"2011","Netherlands","Marginal rate 3",42,
"2012","Netherlands","Marginal rate 3",42,
"2013","Netherlands","Marginal rate 3",42,
"2000","New Zealand","Marginal rate 3",33,
"2001","New Zealand","Marginal rate 3",33,
"2002","New Zealand","Marginal rate 3",33,
"2003","New Zealand","Marginal rate 3",33,
"2004","New Zealand","Marginal rate 3",33,
"2005","New Zealand","Marginal rate 3",33,
"2006","New Zealand","Marginal rate 3",33,
"2007","New Zealand","Marginal rate 3",33,
"2008","New Zealand","Marginal rate 3",21,
"2009","New Zealand","Marginal rate 3",33,
"2010","New Zealand","Marginal rate 3",31.5,
"2011","New Zealand","Marginal rate 3",30,
"2012","New Zealand","Marginal rate 3",30,
"2013","New Zealand","Marginal rate 3",30,
"2000","Norway","Marginal rate 3",29.85,
"2001","Norway","Marginal rate 3",28.4,
"2002","Norway","Marginal rate 3",33.2,
"2003","Norway","Marginal rate 3",31.26,
"2004","Norway","Marginal rate 3",31.7,
"2005","Norway","Marginal rate 3",27.3,
"2006","Norway","Marginal rate 3",23.8,
"2007","Norway","Marginal rate 3",24.6,
"2008","Norway","Marginal rate 3",25.3,
"2009","Norway","Marginal rate 3",24.55,
"2010","Norway","Marginal rate 3",24.55,
"2011","Norway","Marginal rate 3",26.05,
"2012","Norway","Marginal rate 3",25.75,
"2013","Norway","Marginal rate 3",25.75,
"2000","Poland","Marginal rate 3",40,
"2002","Poland","Marginal rate 3",40,
"2003","Poland","Marginal rate 3",40,
"2004","Poland","Marginal rate 3",40,
"2005","Poland","Marginal rate 3",40,
"2006","Poland","Marginal rate 3",40,
"2007","Poland","Marginal rate 3",40,
"2008","Poland","Marginal rate 3",40,
"2000","Portugal","Marginal rate 3",25,
"2001","Portugal","Marginal rate 3",24,
"2002","Portugal","Marginal rate 3",24,
"2003","Portugal","Marginal rate 3",24,
"2004","Portugal","Marginal rate 3",24,
"2005","Portugal","Marginal rate 3",23.5,
"2006","Portugal","Marginal rate 3",23.5,
"2007","Portugal","Marginal rate 3",23.5,
"2008","Portugal","Marginal rate 3",23.5,
"2009","Portugal","Marginal rate 3",23.5,
"2010","Portugal","Marginal rate 3",24.08,
"2011","Portugal","Marginal rate 3",24.5,
"2012","Portugal","Marginal rate 3",24.5,
"2013","Portugal","Marginal rate 3",37,
"2000","Slovak Republic","Marginal rate 3",25,
"2001","Slovak Republic","Marginal rate 3",25,
"2002","Slovak Republic","Marginal rate 3",28,
"2003","Slovak Republic","Marginal rate 3",28,
"2000","Spain","Marginal rate 3",23.57,
"2001","Spain","Marginal rate 3",23.57,
"2002","Spain","Marginal rate 3",23.57,
"2003","Spain","Marginal rate 3",18.68,
"2004","Spain","Marginal rate 3",18.68,
"2005","Spain","Marginal rate 3",18.68,
"2006","Spain","Marginal rate 3",18.68,
"2007","Spain","Marginal rate 3",24.14,
"2008","Spain","Marginal rate 3",24.14,
"2009","Spain","Marginal rate 3",24.14,
"2010","Spain","Marginal rate 3",24.14,
"2011","Spain","Marginal rate 3",18.5,
"2012","Spain","Marginal rate 3",21.5,
"2013","Spain","Marginal rate 3",21.5,
"2000","Sweden","Marginal rate 3",25,
"2001","Sweden","Marginal rate 3",25,
"2002","Sweden","Marginal rate 3",25,
"2003","Sweden","Marginal rate 3",25,
"2004","Sweden","Marginal rate 3",25,
"2005","Sweden","Marginal rate 3",25,
"2006","Sweden","Marginal rate 3",25,
"2007","Sweden","Marginal rate 3",25,
"2008","Sweden","Marginal rate 3",25,
"2009","Sweden","Marginal rate 3",25,
"2010","Sweden","Marginal rate 3",25,
"2011","Sweden","Marginal rate 3",25,
"2012","Sweden","Marginal rate 3",25,
"2013","Sweden","Marginal rate 3",25,
"2000","Switzerland","Marginal rate 3",0.88,
"2001","Switzerland","Marginal rate 3",0.88,
"2002","Switzerland","Marginal rate 3",0.88,
"2003","Switzerland","Marginal rate 3",0.88,
"2004","Switzerland","Marginal rate 3",0.88,
"2005","Switzerland","Marginal rate 3",0.88,
"2006","Switzerland","Marginal rate 3",0.88,
"2007","Switzerland","Marginal rate 3",0.88,
"2008","Switzerland","Marginal rate 3",0.88,
"2009","Switzerland","Marginal rate 3",0.88,
"2010","Switzerland","Marginal rate 3",0.88,
"2011","Switzerland","Marginal rate 3",0.88,
"2012","Switzerland","Marginal rate 3",0.88,
"2013","Switzerland","Marginal rate 3",0.88,
"2000","Turkey","Marginal rate 3",25,
"2001","Turkey","Marginal rate 3",25,
"2002","Turkey","Marginal rate 3",25,
"2003","Turkey","Marginal rate 3",25,
"2004","Turkey","Marginal rate 3",25,
"2005","Turkey","Marginal rate 3",25,
"2006","Turkey","Marginal rate 3",27,
"2007","Turkey","Marginal rate 3",27,
"2008","Turkey","Marginal rate 3",27,
"2009","Turkey","Marginal rate 3",27,
"2010","Turkey","Marginal rate 3",27,
"2011","Turkey","Marginal rate 3",27,
"2012","Turkey","Marginal rate 3",27,
"2013","Turkey","Marginal rate 3",27,
"2000","United Kingdom","Marginal rate 3",40,
"2001","United Kingdom","Marginal rate 3",40,
"2002","United Kingdom","Marginal rate 3",40,
"2003","United Kingdom","Marginal rate 3",40,
"2004","United Kingdom","Marginal rate 3",40,
"2005","United Kingdom","Marginal rate 3",40,
"2006","United Kingdom","Marginal rate 3",40,
"2007","United Kingdom","Marginal rate 3",40,
"2010","United Kingdom","Marginal rate 3",50,
"2011","United Kingdom","Marginal rate 3",50,
"2012","United Kingdom","Marginal rate 3",50,
"2013","United Kingdom","Marginal rate 3",45,
"2000","United States","Marginal rate 3",31,
"2001","United States","Marginal rate 3",27.5,
"2002","United States","Marginal rate 3",27,
"2003","United States","Marginal rate 3",25,
"2004","United States","Marginal rate 3",25,
"2005","United States","Marginal rate 3",25,
"2006","United States","Marginal rate 3",25,
"2007","United States","Marginal rate 3",25,
"2008","United States","Marginal rate 3",25,
"2009","United States","Marginal rate 3",25,
"2010","United States","Marginal rate 3",25,
"2011","United States","Marginal rate 3",25,
"2012","United States","Marginal rate 3",25,
"2013","United States","Marginal rate 3",25,
"2000","Chile","Marginal rate 3",15,
"2001","Chile","Marginal rate 3",15,
"2002","Chile","Marginal rate 3",15,
"2003","Chile","Marginal rate 3",15,
"2004","Chile","Marginal rate 3",15,
"2005","Chile","Marginal rate 3",15,
"2006","Chile","Marginal rate 3",15,
"2007","Chile","Marginal rate 3",15,
"2008","Chile","Marginal rate 3",15,
"2009","Chile","Marginal rate 3",15,
"2010","Chile","Marginal rate 3",15,
"2011","Chile","Marginal rate 3",15,
"2012","Chile","Marginal rate 3",15,
"2013","Chile","Marginal rate 3",15,
"2000","Israel","Marginal rate 3",30,
"2001","Israel","Marginal rate 3",30,
"2002","Israel","Marginal rate 3",30,
"2003","Israel","Marginal rate 3",26,
"2004","Israel","Marginal rate 3",30,
"2005","Israel","Marginal rate 3",32,
"2006","Israel","Marginal rate 3",29,
"2007","Israel","Marginal rate 3",29,
"2008","Israel","Marginal rate 3",26,
"2009","Israel","Marginal rate 3",23,
"2010","Israel","Marginal rate 3",23,
"2011","Israel","Marginal rate 3",23,
"2012","Israel","Marginal rate 3",21,
"2013","Israel","Marginal rate 3",21,
"2000","Slovenia","Marginal rate 3",37,
"2001","Slovenia","Marginal rate 3",37,
"2002","Slovenia","Marginal rate 3",37,
"2003","Slovenia","Marginal rate 3",37,
"2004","Slovenia","Marginal rate 3",37,
"2005","Slovenia","Marginal rate 3",38,
"2006","Slovenia","Marginal rate 3",37,
"2007","Slovenia","Marginal rate 3",41,
"2008","Slovenia","Marginal rate 3",41,
"2009","Slovenia","Marginal rate 3",41,
"2010","Slovenia","Marginal rate 3",41,
"2011","Slovenia","Marginal rate 3",41,
"2012","Slovenia","Marginal rate 3",41,
"2013","Slovenia","Marginal rate 3",41,
"2000","Australia","Threshold 3",50000,
"2001","Australia","Threshold 3",50000,
"2002","Australia","Threshold 3",50000,
"2003","Australia","Threshold 3",52000,
"2004","Australia","Threshold 3",58000,
"2005","Australia","Threshold 3",63000,
"2006","Australia","Threshold 3",63000,
"2007","Australia","Threshold 3",75000,
"2008","Australia","Threshold 3",75000,
"2009","Australia","Threshold 3",80000,
"2010","Australia","Threshold 3",80000,
"2011","Australia","Threshold 3",80000,
"2012","Australia","Threshold 3",80000,
"2013","Australia","Threshold 3",80000,
"2000","Austria","Threshold 3",8866.1,
"2001","Austria","Threshold 3",8866.1,
"2002","Austria","Threshold 3",21800,
"2003","Austria","Threshold 3",21800,
"2004","Austria","Threshold 3",21800,
"2005","Austria","Threshold 3",51000,
"2006","Austria","Threshold 3",51000,
"2007","Austria","Threshold 3",51000,
"2008","Austria","Threshold 3",51000,
"2009","Austria","Threshold 3",60000,
"2010","Austria","Threshold 3",60000,
"2011","Austria","Threshold 3",60000,
"2012","Austria","Threshold 3",60000,
"2013","Austria","Threshold 3",60000,
"2000","Belgium","Threshold 3",12097.204,
"2001","Belgium","Threshold 3",12420,
"2002","Belgium","Threshold 3",12720,
"2003","Belgium","Threshold 3",14530,
"2004","Belgium","Threshold 3",16480,
"2005","Belgium","Threshold 3",16830,
"2006","Belgium","Threshold 3",17300,
"2007","Belgium","Threshold 3",17610,
"2008","Belgium","Threshold 3",17930,
"2009","Belgium","Threshold 3",18740,
"2010","Belgium","Threshold 3",18730,
"2011","Belgium","Threshold 3",19130,
"2012","Belgium","Threshold 3",19810,
"2013","Belgium","Threshold 3",19810,
"2001","Canada","Threshold 3",100000,
"2002","Canada","Threshold 3",103000,
"2003","Canada","Threshold 3",104648,
"2004","Canada","Threshold 3",113804,
"2005","Canada","Threshold 3",115739,
"2006","Canada","Threshold 3",118285,
"2007","Canada","Threshold 3",120887,
"2008","Canada","Threshold 3",123184,
"2009","Canada","Threshold 3",126264,
"2010","Canada","Threshold 3",127021,
"2011","Canada","Threshold 3",128800,
"2012","Canada","Threshold 3",132406,
"2013","Canada","Threshold 3",132406,
"2000","Czech Republic","Threshold 3",312000,
"2001","Czech Republic","Threshold 3",331200,
"2002","Czech Republic","Threshold 3",331200,
"2003","Czech Republic","Threshold 3",331200,
"2004","Czech Republic","Threshold 3",331200,
"2005","Czech Republic","Threshold 3",331200,
"2006","Czech Republic","Threshold 3",331200,
"2007","Czech Republic","Threshold 3",331200,
"2000","Finland","Threshold 3",13623.2,
"2001","Finland","Threshold 3",19678,
"2002","Finland","Threshold 3",19700,
"2003","Finland","Threshold 3",20000,
"2004","Finland","Threshold 3",20200,
"2005","Finland","Threshold 3",20500,
"2006","Finland","Threshold 3",20000,
"2007","Finland","Threshold 3",33400,
"2008","Finland","Threshold 3",34000,
"2009","Finland","Threshold 3",35300,
"2010","Finland","Threshold 3",36800,
"2011","Finland","Threshold 3",37800,
"2012","Finland","Threshold 3",39100,
"2013","Finland","Threshold 3",39100,
"2000","France","Threshold 3",14039,
"2001","France","Threshold 3",14264,
"2002","France","Threshold 3",14506,
"2003","France","Threshold 3",14753,
"2004","France","Threshold 3",15004,
"2005","France","Threshold 3",15274,
"2006","France","Threshold 3",24872,
"2007","France","Threshold 3",25195,
"2008","France","Threshold 3",25926,
"2009","France","Threshold 3",26030,
"2010","France","Threshold 3",26420,
"2011","France","Threshold 3",26420,
"2012","France","Threshold 3",26420,
"2013","France","Threshold 3",26420,
"2000","Germany","Threshold 3",58643,
"2001","Germany","Threshold 3",54999,
"2002","Germany","Threshold 3",55008,
"2003","Germany","Threshold 3",55008,
"2004","Germany","Threshold 3",52151,
"2005","Germany","Threshold 3",52151,
"2006","Germany","Threshold 3",52151,
"2007","Germany","Threshold 3",250000,
"2008","Germany","Threshold 3",250000,
"2009","Germany","Threshold 3",250400,
"2010","Germany","Threshold 3",250730,
"2011","Germany","Threshold 3",250730,
"2012","Germany","Threshold 3",250730,
"2013","Germany","Threshold 3",250730,
"2000","Greece","Threshold 3",12721.94,
"2001","Greece","Threshold 3",13359,
"2002","Greece","Threshold 3",23400,
"2003","Greece","Threshold 3",23400,
"2004","Greece","Threshold 3",23400,
"2005","Greece","Threshold 3",23000,
"2006","Greece","Threshold 3",23000,
"2007","Greece","Threshold 3",75000,
"2008","Greece","Threshold 3",75000,
"2009","Greece","Threshold 3",75000,
"2010","Greece","Threshold 3",22000,
"2011","Greece","Threshold 3",16000,
"2012","Greece","Threshold 3",16000,
"2013","Greece","Threshold 3",16000,
"2000","Italy","Threshold 3",30987000,
"2001","Italy","Threshold 3",30987,
"2002","Italy","Threshold 3",30987,
"2003","Italy","Threshold 3",32600,
"2004","Italy","Threshold 3",32600,
"2005","Italy","Threshold 3",100000,
"2006","Italy","Threshold 3",100000,
"2007","Italy","Threshold 3",55000,
"2008","Italy","Threshold 3",55000,
"2009","Italy","Threshold 3",55000,
"2010","Italy","Threshold 3",55000,
"2011","Italy","Threshold 3",55000,
"2012","Italy","Threshold 3",55000,
"2013","Italy","Threshold 3",55000,
"2000","Japan","Threshold 3",18000000,
"2001","Japan","Threshold 3",18000000,
"2002","Japan","Threshold 3",18000000,
"2003","Japan","Threshold 3",18000000,
"2004","Japan","Threshold 3",18000000,
"2005","Japan","Threshold 3",18000000,
"2006","Japan","Threshold 3",18000000,
"2007","Japan","Threshold 3",6950000,
"2008","Japan","Threshold 3",6950000,
"2009","Japan","Threshold 3",6950000,
"2010","Japan","Threshold 3",6950000,
"2011","Japan","Threshold 3",6950000,
"2012","Japan","Threshold 3",6950000,
"2013","Japan","Threshold 3",6950000,
"2000","Korea","Threshold 3",80000000,
"2001","Korea","Threshold 3",80000000,
"2002","Korea","Threshold 3",80000000,
"2003","Korea","Threshold 3",80000000,
"2004","Korea","Threshold 3",80000000,
"2005","Korea","Threshold 3",80000000,
"2006","Korea","Threshold 3",80000000,
"2007","Korea","Threshold 3",80000000,
"2008","Korea","Threshold 3",88000000,
"2009","Korea","Threshold 3",88000000,
"2010","Korea","Threshold 3",88000000,
"2011","Korea","Threshold 3",88000000,
"2012","Korea","Threshold 3",88000000,
"2013","Korea","Threshold 3",88000000,
"2000","Luxembourg","Threshold 3",10485.896,
"2001","Luxembourg","Threshold 3",13088.778,
"2002","Luxembourg","Threshold 3",13050,
"2003","Luxembourg","Threshold 3",13050,
"2004","Luxembourg","Threshold 3",13050,
"2005","Luxembourg","Threshold 3",13050,
"2006","Luxembourg","Threshold 3",13050,
"2007","Luxembourg","Threshold 3",13050,
"2008","Luxembourg","Threshold 3",13833,
"2009","Luxembourg","Threshold 3",15081,
"2010","Luxembourg","Threshold 3",15081,
"2011","Luxembourg","Threshold 3",15081,
"2012","Luxembourg","Threshold 3",15081,
"2013","Luxembourg","Threshold 3",15081,
"2000","Mexico","Threshold 3",72104.37,
"2001","Mexico","Threshold 3",76867.81,
"2002","Mexico","Threshold 3",77740,
"2003","Mexico","Threshold 3",78613,
"2004","Mexico","Threshold 3",78613,
"2005","Mexico","Threshold 3",88793,
"2006","Mexico","Threshold 3",88793.04,
"2007","Mexico","Threshold 3",88793.04,
"2008","Mexico","Threshold 3",88793.04,
"2009","Mexico","Threshold 3",88793.04,
"2010","Mexico","Threshold 3",88793.05,
"2011","Mexico","Threshold 3",88793.05,
"2012","Mexico","Threshold 3",88793.05,
"2013","Mexico","Threshold 3",88793.05,
"2000","Netherlands","Threshold 3",48897.541,
"2001","Netherlands","Threshold 3",46308.924,
"2002","Netherlands","Threshold 3",47746,
"2003","Netherlands","Threshold 3",49464,
"2004","Netherlands","Threshold 3",50652,
"2005","Netherlands","Threshold 3",51762,
"2006","Netherlands","Threshold 3",52228,
"2007","Netherlands","Threshold 3",53064,
"2008","Netherlands","Threshold 3",53860,
"2009","Netherlands","Threshold 3",54776,
"2010","Netherlands","Threshold 3",54367,
"2011","Netherlands","Threshold 3",55694,
"2012","Netherlands","Threshold 3",56491,
"2013","Netherlands","Threshold 3",55991,
"2000","New Zealand","Threshold 3",60000,
"2001","New Zealand","Threshold 3",60000,
"2002","New Zealand","Threshold 3",60000,
"2003","New Zealand","Threshold 3",60000,
"2004","New Zealand","Threshold 3",60000,
"2005","New Zealand","Threshold 3",60000,
"2006","New Zealand","Threshold 3",60000,
"2007","New Zealand","Threshold 3",60000,
"2008","New Zealand","Threshold 3",38000,
"2009","New Zealand","Threshold 3",70000,
"2010","New Zealand","Threshold 3",70000,
"2011","New Zealand","Threshold 3",70000,
"2012","New Zealand","Threshold 3",70000,
"2013","New Zealand","Threshold 3",70000,
"2000","Portugal","Threshold 3",14165.86,
"2001","Portugal","Threshold 3",14963.94,
"2002","Portugal","Threshold 3",15375.45,
"2003","Portugal","Threshold 3",15682.96,
"2004","Portugal","Threshold 3",15997,
"2005","Portugal","Threshold 3",16317,
"2006","Portugal","Threshold 3",16692,
"2007","Portugal","Threshold 3",17043,
"2008","Portugal","Threshold 3",17401,
"2009","Portugal","Threshold 3",17836,
"2010","Portugal","Threshold 3",17979,
"2011","Portugal","Threshold 3",18375,
"2012","Portugal","Threshold 3",18375,
"2013","Portugal","Threshold 3",40000,
"2000","Slovak Republic","Threshold 3",7966.541,
"2001","Slovak Republic","Threshold 3",7966.541,
"2002","Slovak Republic","Threshold 3",13144.792,
"2003","Slovak Republic","Threshold 3",13144.792,
"2000","Spain","Threshold 3",25134.326,
"2001","Spain","Threshold 3",25134,
"2002","Spain","Threshold 3",25134.33,
"2003","Spain","Threshold 3",25800,
"2004","Spain","Threshold 3",25800,
"2005","Spain","Threshold 3",26316,
"2006","Spain","Threshold 3",26842.32,
"2007","Spain","Threshold 3",52360,
"2008","Spain","Threshold 3",53407.2,
"2009","Spain","Threshold 3",53407.2,
"2010","Spain","Threshold 3",53407.2,
"2011","Spain","Threshold 3",53407.2,
"2012","Spain","Threshold 3",53407.2,
"2013","Spain","Threshold 3",53407.2,
"2000","Switzerland","Threshold 3",36500,
"2001","Switzerland","Threshold 3",36500,
"2002","Switzerland","Threshold 3",36500,
"2003","Switzerland","Threshold 3",36500,
"2004","Switzerland","Threshold 3",36500,
"2005","Switzerland","Threshold 3",36500,
"2006","Switzerland","Threshold 3",39000,
"2007","Switzerland","Threshold 3",39000,
"2008","Switzerland","Threshold 3",39000,
"2009","Switzerland","Threshold 3",39000,
"2010","Switzerland","Threshold 3",39000,
"2011","Switzerland","Threshold 3",41200,
"2012","Switzerland","Threshold 3",41400,
"2013","Switzerland","Threshold 3",41400,
"2000","Turkey","Threshold 3",12500000000,
"2001","Turkey","Threshold 3",14000000000,
"2002","Turkey","Threshold 3",19000000000,
"2003","Turkey","Threshold 3",24000000000,
"2004","Turkey","Threshold 3",28000000000,
"2005","Turkey","Threshold 3",30000,
"2006","Turkey","Threshold 3",40000,
"2007","Turkey","Threshold 3",43000,
"2008","Turkey","Threshold 3",44700,
"2009","Turkey","Threshold 3",50000,
"2010","Turkey","Threshold 3",76200,
"2011","Turkey","Threshold 3",80000,
"2012","Turkey","Threshold 3",88000,
"2013","Turkey","Threshold 3",94000,
"2000","United States","Threshold 3",132600,
"2001","United States","Threshold 3",65550,
"2002","United States","Threshold 3",67700,
"2003","United States","Threshold 3",68800,
"2004","United States","Threshold 3",70350,
"2005","United States","Threshold 3",71950,
"2006","United States","Threshold 3",74200,
"2007","United States","Threshold 3",77100,
"2008","United States","Threshold 3",78850,
"2009","United States","Threshold 3",82250,
"2010","United States","Threshold 3",82400,
"2011","United States","Threshold 3",83600,
"2012","United States","Threshold 3",85650,
"2013","United States","Threshold 3",87850,
"2000","Chile","Threshold 3",23184000,
"2001","Chile","Threshold 3",23960160,
"2002","Chile","Threshold 3",24686760,
"2003","Chile","Threshold 3",24980760,
"2004","Chile","Threshold 3",25458720,
"2005","Chile","Threshold 3",26519640,
"2006","Chile","Threshold 3",27053040,
"2007","Chile","Threshold 3",28746480,
"2008","Chile","Threshold 3",31627680,
"2009","Chile","Threshold 3",30964920,
"2010","Chile","Threshold 3",31588200,
"2011","Chile","Threshold 3",32777640,
"2012","Chile","Threshold 3",33773040,
"2013","Chile","Threshold 3",33773040,
"2000","Israel","Threshold 3",122880,
"2001","Israel","Threshold 3",123000,
"2002","Israel","Threshold 3",124800,
"2003","Israel","Threshold 3",62640,
"2004","Israel","Threshold 3",132480,
"2005","Israel","Threshold 3",133680,
"2006","Israel","Threshold 3",137280,
"2007","Israel","Threshold 3",136920,
"2008","Israel","Threshold 3",140640,
"2009","Israel","Threshold 3",147000,
"2010","Israel","Threshold 3",152640,
"2011","Israel","Threshold 3",168840,
"2012","Israel","Threshold 3",173160,
"2013","Israel","Threshold 3",173160,
"2000","Slovenia","Threshold 3",14311.41,
"2001","Slovenia","Threshold 3",16014.47,
"2002","Slovenia","Threshold 3",17567.88,
"2003","Slovenia","Threshold 3",18885.47,
"2004","Slovenia","Threshold 3",19961.94,
"2005","Slovenia","Threshold 3",21448.84,
"2006","Slovenia","Threshold 3",21899.27,
"2013","Slovenia","Threshold 3",70907.2,
"2000","Australia","Marginal rate 4",42,
"2001","Australia","Marginal rate 4",42,
"2002","Australia","Marginal rate 4",42,
"2003","Australia","Marginal rate 4",42,
"2004","Australia","Marginal rate 4",42,
"2005","Australia","Marginal rate 4",42,
"2006","Australia","Marginal rate 4",42,
"2007","Australia","Marginal rate 4",40,
"2008","Australia","Marginal rate 4",40,
"2009","Australia","Marginal rate 4",40,
"2010","Australia","Marginal rate 4",38,
"2011","Australia","Marginal rate 4",37,
"2012","Australia","Marginal rate 4",37,
"2013","Australia","Marginal rate 4",37,
"2000","Austria","Marginal rate 4",43.3,
"2001","Austria","Marginal rate 4",43.31,
"2002","Austria","Marginal rate 4",41,
"2003","Austria","Marginal rate 4",41,
"2004","Austria","Marginal rate 4",41,
"2005","Austria","Marginal rate 4",50,
"2006","Austria","Marginal rate 4",50,
"2007","Austria","Marginal rate 4",50,
"2008","Austria","Marginal rate 4",50,
"2009","Austria","Marginal rate 4",50,
"2010","Austria","Marginal rate 4",50,
"2011","Austria","Marginal rate 4",50,
"2012","Austria","Marginal rate 4",50,
"2013","Austria","Marginal rate 4",50,
"2000","Belgium","Marginal rate 4",45,
"2001","Belgium","Marginal rate 4",45,
"2002","Belgium","Marginal rate 4",45,
"2003","Belgium","Marginal rate 4",45,
"2004","Belgium","Marginal rate 4",45,
"2005","Belgium","Marginal rate 4",45,
"2006","Belgium","Marginal rate 4",45,
"2007","Belgium","Marginal rate 4",45,
"2008","Belgium","Marginal rate 4",45,
"2009","Belgium","Marginal rate 4",45,
"2010","Belgium","Marginal rate 4",45,
"2011","Belgium","Marginal rate 4",45,
"2012","Belgium","Marginal rate 4",45,
"2013","Belgium","Marginal rate 4",45,
"2001","Canada","Marginal rate 4",29,
"2002","Canada","Marginal rate 4",29,
"2003","Canada","Marginal rate 4",29,
"2004","Canada","Marginal rate 4",29,
"2005","Canada","Marginal rate 4",29,
"2006","Canada","Marginal rate 4",29,
"2007","Canada","Marginal rate 4",29,
"2008","Canada","Marginal rate 4",29,
"2009","Canada","Marginal rate 4",29,
"2010","Canada","Marginal rate 4",29,
"2011","Canada","Marginal rate 4",29,
"2012","Canada","Marginal rate 4",29,
"2013","Canada","Marginal rate 4",29,
"2000","Czech Republic","Marginal rate 4",32,
"2001","Czech Republic","Marginal rate 4",32,
"2002","Czech Republic","Marginal rate 4",32,
"2003","Czech Republic","Marginal rate 4",32,
"2004","Czech Republic","Marginal rate 4",32,
"2005","Czech Republic","Marginal rate 4",32,
"2006","Czech Republic","Marginal rate 4",32,
"2007","Czech Republic","Marginal rate 4",32,
"2000","Finland","Marginal rate 4",19,
"2001","Finland","Marginal rate 4",24,
"2002","Finland","Marginal rate 4",23,
"2003","Finland","Marginal rate 4",22,
"2004","Finland","Marginal rate 4",21,
"2005","Finland","Marginal rate 4",20.5,
"2006","Finland","Marginal rate 4",19.5,
"2007","Finland","Marginal rate 4",24,
"2008","Finland","Marginal rate 4",23.5,
"2009","Finland","Marginal rate 4",22,
"2010","Finland","Marginal rate 4",21.5,
"2011","Finland","Marginal rate 4",21.5,
"2012","Finland","Marginal rate 4",21.5,
"2013","Finland","Marginal rate 4",21.5,
"2000","France","Marginal rate 4",31.75,
"2001","France","Marginal rate 4",31,
"2002","France","Marginal rate 4",29.14,
"2003","France","Marginal rate 4",28.26,
"2004","France","Marginal rate 4",28.26,
"2005","France","Marginal rate 4",28.26,
"2006","France","Marginal rate 4",30,
"2007","France","Marginal rate 4",30,
"2008","France","Marginal rate 4",30,
"2009","France","Marginal rate 4",30,
"2010","France","Marginal rate 4",30,
"2011","France","Marginal rate 4",30,
"2012","France","Marginal rate 4",30,
"2013","France","Marginal rate 4",30,
"2000","Germany","Marginal rate 4",51,
"2001","Germany","Marginal rate 4",48.5,
"2002","Germany","Marginal rate 4",48.5,
"2003","Germany","Marginal rate 4",48.5,
"2004","Germany","Marginal rate 4",48,
"2005","Germany","Marginal rate 4",42,
"2006","Germany","Marginal rate 4",42,
"2007","Germany","Marginal rate 4",45,
"2008","Germany","Marginal rate 4",45,
"2009","Germany","Marginal rate 4",45,
"2010","Germany","Marginal rate 4",45,
"2011","Germany","Marginal rate 4",45,
"2012","Germany","Marginal rate 4",45,
"2013","Germany","Marginal rate 4",45,
